Year,Make,Model,Price,Consumer_Rating,Consumer_Review_#,Exterior_Color,Fuel_Type
2023,Honda,CR-V Hybrid Sport,"$34,090",4.4,3,Platinum,Hybrid
2022,Honda,Accord Sport 1.5T,"$30,470",5,3,Gray,Gasoline
2023,Honda,Ridgeline RTL-E,"$46,705",4.8,3,Gray,Gasoline
2023,Honda,Ridgeline Black Edition,"$47,920",4.8,3,Platinum,Gasoline
2022,Honda,Accord Sport 1.5T,"$30,470",5,3,Platinum,Gasoline
2022,Honda,Pilot Sport,"$40,770",4.6,245,Platinum White Pearl,Gasoline
2022,Honda,Passport Elite,"$50,125",5,5663,Black,Gasoline
2022,Honda,Pilot Sport,"$40,270",4.9,826,Platinum White,Gasoline
2022,Honda,Pilot Sport,"$40,270",4.9,826,Platinum White,Gasoline
2022,Honda,Accord Sport 2.0T,"$34,755",5,38,Crystal Black Pearl,Gasoline
2022,Honda,Accord Sport 1.5T,"$30,470",5,38,Sonic Gray Pearl,Gasoline
2023,Honda,CR-V Hybrid Sport Touring,"$40,240",4.4,38,Platinum White Pearl,Hybrid
2022,Honda,Accord Sport SE,"$31,960",5,38,Still Night Pearl,Gasoline
2023,Honda,CR-V Hybrid Sport Touring,"$40,240",5,4402,Urban Gray Pearl,Hybrid
2022,Honda,Passport EX-L,"$42,053",4.5,1732,Crystal Black Pearl,Gasoline
2023,Honda,CR-V Hybrid Sport,"$35,745",4.5,1205,Meteorite Gray Metallic,Hybrid
2023,Honda,CR-V EX-L,"$36,505",4.7,2,Silver Metallic,Gasoline
2023,Honda,Odyssey Elite,"$50,965",4.4,2,Obsidian Black,Gasoline
2023,Honda,Ridgeline RTL,"$43,470",4.8,2,Pewter,Gasoline
2023,Honda,Odyssey EX-L,"$41,486",4.6,1100,Gray,Gasoline
2022,Honda,Ridgeline RTL-E,"$45,760",5,2546,Platinum White Pearl,Gasoline
2022,Honda,Accord Hybrid Sport,"$32,560",5,2546,Platinum White Pearl,Hybrid
2022,Honda,Accord Hybrid Sport,"$32,560",5,2546,Platinum White Pearl,Hybrid
2022,Honda,Ridgeline RTL,"$42,810",5,2546,Pacific Pewter Metallic,Gasoline
2023,Honda,Odyssey Sport,"$43,050",4.4,306,Sonic Gray Pearl,Gasoline
2022,Honda,Pilot Special Edition,"$44,205",5,306,Crystal Black Pearl,Gasoline
